id,sensortype,data
2738,Temp,24
2739,Humid,15
2740,Gas,906
2741,Temp,27
2742,Humid,29
2743,Gas,905
2744,Temp,24
2745,Humid,18
2746,Gas,912
2747,Temp,30
2748,Humid,37
2749,Gas,910
2750,Temp,24
2751,Humid,19
2752,Gas,905
2753,Temp,24
2754,Humid,36
2755,Gas,903
2756,Temp,25
2757,Humid,16
2758,Gas,909
2759,Temp,24
2760,Humid,18
2761,Gas,898
2762,Humid,15
2763,Temp,28
2764,Gas,895
2765,Temp,28
2766,Humid,15
2767,Gas,892
2768,Temp,24
2769,Humid,33
2770,Gas,879
2771,Temp,29
2772,Humid,16
2773,Gas,878
2774,Temp,24
2775,Humid,18
2776,Gas,879
2777,Temp,28
2778,Humid,15
2779,Gas,894
2780,Temp,28
2781,Humid,28
2782,Gas,886
2783,Temp,24
2784,Humid,19
2785,Gas,890
2786,Temp,24
2787,Humid,17
2788,Gas,894
2789,Temp,24
2790,Humid,30
2791,Gas,894
2792,Temp,25
2793,Humid,16
2794,Gas,890
2795,Temp,25
2796,Humid,16
2797,Gas,881
2798,Temp,25
2799,Humid,18
2800,Gas,880
2801,Temp,24
2802,Humid,30
2803,Gas,884
2804,Temp,23
2805,Humid,15
2806,Gas,885
2807,Temp,24
2808,Humid,17
2809,Gas,879
2810,Temp,24
2811,Humid,17
2812,Gas,878
2813,Temp,22
2814,Humid,30
2815,Gas,880
2816,Temp,24
2817,Humid,16
2818,Gas,874
2819,Temp,24
2820,Humid,32
2821,Gas,879
2822,Temp,24
2823,Humid,17
2824,Gas,872
2825,Temp,24
2826,Humid,30
2827,Gas,878
2828,Temp,25
2829,Humid,16
2830,Gas,874
2831,Temp,24
2832,Humid,18
2833,Gas,872
2834,Temp,24
2835,Humid,31
2836,Temp,24
2837,Humid,17
2838,Gas,865
2839,Temp,24
2840,Humid,19
2841,Gas,867
2842,Temp,24
2843,Humid,17
2844,Gas,870
2845,Temp,25
2846,Humid,29
2847,Gas,861
2848,Temp,24
2849,Humid,19
2850,Gas,861
2851,Temp,24
2852,Humid,19
2853,Gas,847
2854,Temp,25
2855,Humid,16
2856,Gas,860
2857,Temp,24
2858,Humid,21
2859,Gas,866
2860,Temp,24
2861,Humid,23
2862,Gas,865
2863,Temp,24
2864,Humid,17
2865,Gas,864
2866,Temp,24
2867,Humid,27
2868,Gas,865
2869,Temp,24
2870,Humid,17
2871,Gas,861
2872,Temp,24
2873,Humid,18
2874,Gas,861
2875,Temp,23
2876,Humid,17
2877,Gas,860
2878,Temp,24
2879,Humid,26
2880,Gas,859
2881,Temp,24
2882,Humid,17
2883,Gas,861
2884,Temp,24
2885,Humid,20
2886,Gas,858
2887,Temp,24
2888,Humid,30
2889,Gas,858
2890,Temp,24
2891,Humid,31
2892,Gas,856
2893,Temp,25
2894,Humid,16
2895,Gas,850
2896,Temp,28
2897,Humid,15
2898,Gas,857
2899,Temp,24
2900,Humid,31
2901,Gas,833
2902,Temp,24
2903,Humid,16
2904,Gas,840
2905,Temp,24
2906,Humid,17
2907,Gas,838
2908,Temp,24
2909,Humid,30
2910,Gas,828
2911,Temp,24
2912,Humid,17
2913,Gas,836
2914,Temp,27
2915,Humid,31
2916,Gas,826
2917,Temp,24
2918,Humid,17
2919,Gas,829
2920,Temp,26
2921,Humid,17
2922,Gas,833
2923,Temp,24
2924,Humid,28
2925,Gas,834
2926,Temp,24
2927,Humid,30
2928,Gas,826
2929,Temp,24
2930,Humid,30
2931,Gas,826
2932,Temp,21
2933,Humid,17
2934,Gas,826
2935,Temp,24
2936,Humid,22
2937,Gas,833
2938,Temp,24
2939,Gas,832
2940,Temp,26
2941,Humid,23
2942,Gas,825
2943,Temp,24
2944,Humid,17
2945,Gas,830
2946,Temp,24
2947,Humid,19
2948,Gas,829
2949,Temp,24
2950,Humid,25
2951,Gas,832
2952,Temp,24
2953,Humid,17
2954,Gas,831
2955,Temp,24
2956,Humid,26
2957,Gas,830
2958,Temp,28
2959,Humid,17
2960,Gas,831
2961,Temp,24
2962,Humid,17
2963,Gas,831
2964,Temp,24
2965,Humid,17
2966,Gas,822
2967,Temp,24
2968,Humid,29
2969,Gas,822
2970,Temp,27
2971,Humid,16
2972,Gas,831
2973,Temp,24
2974,Humid,17
2975,Gas,828
2976,Temp,24
2977,Humid,17
2978,Gas,828
2979,Temp,24
2980,Humid,17
2981,Gas,829
2982,Temp,29
2983,Humid,16
2984,Gas,828
2985,Temp,24
2986,Humid,19
2987,Gas,826
2988,Temp,25
2989,Humid,18
2990,Gas,825
2991,Temp,24
2992,Humid,17
2993,Gas,825
2994,Temp,24
2995,Humid,17
2996,Gas,826
2997,Temp,28
2998,Humid,28
2999,Gas,824
3000,Temp,24
3001,Humid,30
3002,Gas,825
3003,Temp,24
3004,Humid,17
3005,Gas,825
3006,Temp,24
3007,Humid,22
3008,Gas,825
3009,Temp,24
3010,Humid,26
3011,Gas,824
3012,Temp,28
3013,Humid,30
3014,Gas,824
3015,Temp,24
3016,Humid,17
3017,Gas,824
3018,Temp,24
3019,Humid,17
3020,Gas,822
3021,Temp,27
3022,Humid,17
3023,Gas,823
3024,Temp,28
3025,Humid,19
3026,Gas,821
3027,Temp,27
3028,Humid,17
3029,Gas,820
3030,Temp,24
3031,Humid,19
3032,Gas,821
3033,Temp,24
3034,Humid,19
3035,Gas,821
3036,Temp,24
3037,Humid,17
3038,Gas,821
3039,Temp,24
3040,Humid,30
3041,Gas,818
3042,Temp,24
3043,Humid,22
3044,Gas,818
3045,Temp,24
3046,Humid,26
3047,Gas,820
3048,Temp,25
3049,Humid,24
3050,Gas,817
3051,Temp,24
3052,Humid,26
3053,Gas,820
3054,Temp,24
3055,Humid,26
3056,Gas,819
3057,Temp,24
3058,Humid,28
3059,Gas,817
3060,Temp,28
3061,Humid,17
3062,Gas,817
3063,Temp,24
3064,Humid,19
3065,Gas,817
3066,Temp,27
3067,Humid,16
3068,Gas,814
3069,Temp,24
3070,Humid,19
3071,Gas,816
3072,Temp,24
3073,Humid,28
3074,Gas,814
3075,Temp,24
3076,Humid,18
3077,Gas,816
3078,Temp,24
3079,Humid,19
3080,Gas,816
3081,Temp,24
3082,Humid,24
3083,Gas,813
3084,Temp,24
3085,Humid,26
3086,Gas,814
3087,Temp,24
3088,Humid,26
3089,Gas,814
3090,Temp,24
3091,Humid,27
3092,Gas,812
3093,Temp,24
3094,Humid,19
3095,Gas,813
3096,Temp,28
3097,Humid,17
3098,Gas,812
3099,Temp,24
3100,Humid,19
3101,Gas,813
3102,Temp,24
3103,Humid,24
3104,Gas,811
3105,Temp,24
3106,Humid,17
3107,Gas,814
3108,Temp,24
3109,Humid,26
3110,Gas,813
3111,Temp,24
3112,Humid,17
3113,Gas,812
3114,Temp,24
3115,Humid,28
3116,Gas,812
3117,Temp,25
3118,Humid,29
3119,Gas,811
3120,Temp,24
3121,Humid,30
3122,Gas,811
3123,Temp,24
3124,Humid,30
3125,Gas,811
3126,Temp,24
3127,Humid,30
3128,Gas,810
3129,Temp,24
3130,Humid,17
